fioriId;RoleName;AppName;ApplicationType;App Launcher Title - Subtitle;Lighthouse;UITechnology;PrimaryODataServiceName;PrimaryODataServiceVersion;AdditionalODataServices;AdditionalODataServicesVersions;Link;Column1
F2372;Internal Auditor;Track Open Action Plans;Transactional;;;SAP Fiori (SAPUI5);GRCAUD_ACTION_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2372;
F2373;Production Process Specialist (Complex Assembly);Manage Certification Categories;Transactional;Manage Certification Categories;;SAP Fiori elements;MPE_CERTIFICATE_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2373;
F2374;Production Process Specialist (Complex Assembly);Manage User Certification Assignments;Transactional;Manage User Certification Assignments;;SAP Fiori elements;MPE_BP_CERTIFICATE_ASSIGNMENT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2374;
F2375;Accounts Receivable Manager;Supervise Collections Worklist;Transactional;Supervise Collections Worklist;Yes;SAP Fiori elements;UDMO_COLLECTION_WORKLIST;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2375;
F2376;Internal Auditor;Display Historical Action Plans;Transactional;;;SAP Fiori (SAPUI5);GRCAUD_ACTION_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2376;
F2377;Internal Auditor;Display Historical Findings;Transactional;;;SAP Fiori (SAPUI5);GRCAUD_FINDING_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2377;
F2378;Production Process Specialist (Complex Assembly);Manage Certifications;Transactional;Manage Certifications - Manufacturing;;SAP Fiori elements;MPE_CERTIFICATE_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2378;
F2381;General Ledger Accountant;Bank Reconciliation Statement for China;Transactional;Bank Reconciliation Statement - China;;SAP Fiori elements;EPIC_BANK_RECO_STATEMENT_SRV;1;CA_OC_OUTPUT_REQUEST_SRV;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2381;
F2382;General Ledger Accountant;Bank Reconciliation for China;Transactional;Bank Reconciliation - China;;SAP Fiori (SAPUI5);EPIC_BANK_RECONCILIATION_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2382;
F2385;Internal Auditor;Action Plans;Reuse Component;;;SAP Fiori (SAPUI5);;;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2385;
F2386;Internal Auditor;Findings;Reuse Component;;;SAP Fiori (SAPUI5);;;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2386;
F2387A;Bank Back Office Employee;Common Banking Fiori Reuse Library (Version 2);Reuse Component;;;SAP Fiori (SAPUI5);;;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2387A;
F2388;Accounts Payable Accountant;Monitor Payments;Transactional;Monitor Payments;;SAP Fiori (SAPUI5);FAP_MONPAYBATCHS_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2388;
F2389;Invoicing Specialist (Convergent Invoicing);Manage Credit/Debit Memos;Transactional;Manage Credit/Debit Memos, Manage Credit/Debit Memos - obsolete;;SAP Fiori elements;O2C_CI_CREDDEBMEMO_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2389;
